date,country,adm,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_deaths,class
2020-02-04,Singapore,all,18,,,,
2020-02-04,South Korea,all,16,,,,
2020-02-04,Spain,all,1,,,,
2020-02-04,Sri Lanka,all,1,,,,
2020-02-04,Sweden,all,1,,,,
2020-02-04,Thailand,all,19,,,,
2020-02-04,UK,all,2,,,,
2020-02-04,United Arab Emirates,all,5,,,,
2020-02-04,USA,all,11,,,,
2020-02-04,Vietnam,all,9,,,,
2020-02-05,Australia,all,13,,,,
2020-02-05,Belgium,all,1,,,,
2020-02-05,Cambodia,all,1,,,,
2020-02-05,Canada,all,5,,,,
2020-02-05,Finland,all,1,,,,
2020-02-05,France,all,6,,,,
2020-02-05,Germany,all,12,,,,
2020-02-05,India,all,3,,,,
2020-02-05,Italy,all,2,,,,
2020-02-05,Japan,all,23,,,,
2020-02-05,Malaysia,all,10,,,,
2020-02-05,Nepal,all,1,,,,
2020-02-05,Philippines,all,3,,,,
2020-02-05,Russia,all,2,,,,
2020-02-05,Singapore,all,24,,,,
2020-02-05,South Korea,all,18,,,,
2020-02-05,Spain,all,1,,,,
2020-02-05,Sri Lanka,all,1,,,,
2020-02-05,Sweden,all,1,,,,
2020-02-05,Thailand,all,25,,,,
2020-02-05,UK,all,2,,,,
2020-02-05,United Arab Emirates,all,5,,,,
2020-02-05,USA,all,11,,,,
2020-02-05,Vietnam,all,10,,,,
2020-02-06,Australia,all,14,,,,
2020-02-06,Belgium,all,1,,,,
2020-02-06,Cambodia,all,1,,,,
2020-02-06,Canada,all,5,,,,
2020-02-06,Finland,all,1,,,,
2020-02-06,France,all,6,,,,
2020-02-06,Germany,all,12,,,,
2020-02-06,India,all,3,,,,
2020-02-06,Italy,all,2,,,,
2020-02-06,Japan,all,25,,,,
2020-02-06,Malaysia,all,12,,,,
2020-02-06,Nepal,all,1,,,,
2020-02-06,Philippines,all,3,,,,
2020-02-06,Russia,all,2,,,,
2020-02-06,Singapore,all,28,,,,
2020-02-06,South Korea,all,23,,,,
2020-02-06,Spain,all,1,,,,
2020-02-06,Sri Lanka,all,1,,,,
2020-02-06,Sweden,all,1,,,,
2020-02-06,Thailand,all,25,,,,
2020-02-06,UK,all,2,,,,
2020-02-06,United Arab Emirates,all,5,,,,
2020-02-06,USA,all,12,,,,
2020-02-06,Vietnam,all,10,,,,
2020-02-07,Australia,all,15,,,,
2020-02-07,Belgium,all,1,,,,
2020-02-07,Cambodia,all,1,,,,
2020-02-07,Canada,all,7,,,,
2020-02-07,Finland,all,1,,,,
2020-02-07,France,all,6,,,,
2020-02-07,Germany,all,13,,,,
2020-02-07,India,all,3,,,,
2020-02-07,Italy,all,3,,,,
2020-02-07,Japan,all,25,,,,
2020-02-07,Malaysia,all,14,,,,
2020-02-07,Nepal,all,1,,,,
2020-02-07,Philippines,all,3,,,,
2020-02-07,Russia,all,2,,,,
2020-02-07,Singapore,all,30,,,,
2020-02-07,South Korea,all,24,,,,
2020-02-07,Spain,all,1,,,,
2020-02-07,Sri Lanka,all,1,,,,
2020-02-07,Sweden,all,1,,,,
2020-02-07,Thailand,all,25,,,,
2020-02-07,UK,all,3,,,,
2020-02-07,United Arab Emirates,all,5,,,,
2020-02-07,USA,all,12,,,,
2020-02-07,Vietnam,all,12,,,,
2020-02-08,Australia,all,15,,,,
2020-02-08,Belgium,all,1,,,,
2020-02-08,Cambodia,all,1,,,,
2020-02-08,Canada,all,7,,,,
2020-02-08,Finland,all,1,,,,
2020-02-08,France,all,6,,,,
2020-02-08,Germany,all,14,,,,
2020-02-08,India,all,3,,,,
2020-02-08,Italy,all,3,,,,
2020-02-08,Japan,all,25,,,,
2020-02-08,Malaysia,all,15,,,,
2020-02-08,Nepal,all,1,,,,
2020-02-08,Philippines,all,3,,,,
2020-02-08,Russia,all,2,,,,
2020-02-08,Singapore,all,33,,,,
2020-02-08,South Korea,all,24,,,,
2020-02-08,Spain,all,1,,,,
2020-02-08,Sri Lanka,all,1,,,,
2020-02-08,Sweden,all,1,,,,
2020-02-08,Thailand,all,32,,,,
2020-02-08,UK,all,3,,,,
2020-02-08,United Arab Emirates,all,7,,,,
2020-02-08,USA,all,12,,,,
2020-02-08,Vietnam,all,13,,,,
2020-02-09,Australia,all,15,,,,
2020-02-09,Belgium,all,1,,,,
2020-02-09,Cambodia,all,1,,,,
2020-02-09,Canada,all,7,,,,
2020-02-09,Finland,all,1,,,,
2020-02-09,France,all,11,,,,
2020-02-09,Germany,all,14,,,,
2020-02-09,India,all,3,,,,
2020-02-09,Italy,all,3,,,,
2020-02-09,Japan,all,26,,,,
2020-02-09,Malaysia,all,17,,,,
2020-02-09,Nepal,all,1,,,,
2020-02-09,Philippines,all,3,,,,
2020-02-09,Russia,all,2,,,,
2020-02-09,Singapore,all,40,,,,
2020-02-09,South Korea,all,27,,,,
2020-02-09,Spain,all,1,,,,
2020-02-09,Sri Lanka,all,1,,,,
2020-02-09,Sweden,all,1,,,,
2020-02-09,Thailand,all,32,,,,
2020-02-09,UK,all,3,,,,
2020-02-09,United Arab Emirates,all,7,,,,
2020-02-09,USA,all,12,,,,
2020-02-09,Vietnam,all,14,,,,
2020-02-10,Australia,all,15,,,,
2020-02-10,Belgium,all,1,,,,
2020-02-10,Cambodia,all,1,,,,
2020-02-10,Canada,all,7,,,,
2020-02-10,Finland,all,1,,,,
2020-02-10,France,all,11,,,,
2020-02-10,Germany,all,14,,,,
2020-02-10,India,all,3,,,,
2020-02-10,Italy,all,3,,,,
2020-02-10,Japan,all,26,,,,
2020-02-10,Malaysia,all,18,,,,
2020-02-10,Nepal,all,1,,,,
2020-02-10,Philippines,all,3,,,,
2020-02-10,Russia,all,2,,,,
2020-02-10,Singapore,all,43,,,,
2020-02-10,South Korea,all,27,,,,
2020-02-10,Spain,all,1,,,,
2020-02-10,Sri Lanka,all,1,,,,
2020-02-10,Sweden,all,1,,,,
2020-02-10,Thailand,all,32,,,,
2020-02-10,UK,all,3,,,,
2020-02-10,United Arab Emirates,all,7,,,,
2020-02-10,USA,all,12,,,,
2020-02-10,Vietnam,all,14,,,,
2020-02-11,Australia,all,15,,,,
2020-02-11,Belgium,all,1,,,,
2020-02-11,Cambodia,all,1,,,,
2020-02-11,Canada,all,7,,,,
2020-02-11,Finland,all,1,,,,
2020-02-11,France,all,11,,,,
2020-02-11,Germany,all,14,,,,
2020-02-11,India,all,3,,,,
2020-02-11,Italy,all,3,,,,
2020-02-11,Japan,all,26,,,,
2020-02-11,Malaysia,all,18,,,,
2020-02-11,Nepal,all,1,,,,
2020-02-11,Philippines,all,3,,,,
2020-02-11,Russia,all,2,,,,
2020-02-11,Singapore,all,45,,,,
2020-02-11,South Korea,all,28,,,,
2020-02-11,Spain,all,2,,,,
2020-02-11,Sri Lanka,all,1,,,,
2020-02-11,Sweden,all,1,,,,
2020-02-11,Thailand,all,33,,,,
2020-02-11,UK,all,8,,,,
2020-02-11,United Arab Emirates,all,8,,,,
2020-02-11,USA,all,13,,,,
2020-02-11,Vietnam,all,15,,,,
2020-02-12,Australia,all,15,,,,
2020-02-12,Belgium,all,1,,,,
2020-02-12,Cambodia,all,1,,,,
2020-02-12,Canada,all,7,,,,
2020-02-12,Finland,all,1,,,,
2020-02-12,France,all,11,,,,
2020-02-12,Germany,all,16,,,,
2020-02-12,India,all,3,,,,
2020-02-12,Italy,all,3,,,,
2020-02-12,Japan,all,28,,,,
2020-02-12,Malaysia,all,18,,,,
2020-02-12,Nepal,all,1,,,,
2020-02-12,Philippines,all,3,,,,
2020-02-12,Russia,all,2,,,,
2020-02-12,Singapore,all,47,,,,
2020-02-12,South Korea,all,28,,,,
2020-02-12,Spain,all,2,,,,
2020-02-12,Sri Lanka,all,1,,,,
2020-02-12,Sweden,all,1,,,,
2020-02-12,Thailand,all,33,,,,
2020-02-12,UK,all,8,,,,
2020-02-12,United Arab Emirates,all,8,,,,
2020-02-12,USA,all,13,,,,
2020-02-12,Vietnam,all,15,,,,
2020-02-13,Australia,all,15,,,,
2020-02-13,Belgium,all,1,,,,
2020-02-13,Cambodia,all,1,,,,
2020-02-13,Canada,all,7,,,,
2020-02-13,Finland,all,1,,,,
2020-02-13,France,all,11,,,,
2020-02-13,Germany,all,16,,,,
2020-02-13,India,all,3,,,,
2020-02-13,Italy,all,3,,,,
2020-02-13,Japan,all,29,,,,
2020-02-13,Malaysia,all,18,,,,
2020-02-13,Nepal,all,1,,,,
2020-02-13,Philippines,all,3,,,,
2020-02-13,Russia,all,2,,,,
2020-02-13,Singapore,all,50,,,,
2020-02-13,South Korea,all,28,,,,
2020-02-13,Spain,all,2,,,,
2020-02-13,Sri Lanka,all,1,,,,
2020-02-13,Sweden,all,1,,,,
2020-02-13,Thailand,all,33,,,,
2020-02-13,UK,all,9,,,,
2020-02-13,United Arab Emirates,all,8,,,,
2020-02-13,USA,all,14,,,,
2020-02-13,Vietnam,all,16,,,,
2020-02-14,Australia,all,15,,,,
2020-02-14,Belgium,all,1,,,,
2020-02-14,Cambodia,all,1,,,,
2020-02-14,Canada,all,7,,,,
2020-02-14,Finland,all,1,,,,
2020-02-14,France,all,11,,,,
2020-02-14,Germany,all,16,,,,
2020-02-14,India,all,3,,,,
2020-02-14,Italy,all,3,,,,
2020-02-14,Japan,all,33,,,,
2020-02-14,Malaysia,all,19,,,,
2020-02-14,Nepal,all,1,,,,
2020-02-14,Philippines,all,3,,,,
2020-02-14,Russia,all,2,,,,
2020-02-14,Singapore,all,58,,,,
