date,country,adm,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,population_E4,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
2020-02-03,China,Shandong,246,,,,,10047,,,,
2020-02-03,China,Shanghai,193,,,,,2424,,,,
2020-02-03,China,Shanxi,66,,,,,3718,,,,
2020-02-03,China,Sichuan,254,,,,,8341,,,,
2020-02-03,China,Taiwan,10,,,,,2359,,,,
2020-02-03,China,Tianjin,49,,,,,1560,,,,
2020-02-03,China,Xinjiang,24,,,,,2487,,,,
2020-02-03,China,Xizang,1,,,,,344,,,,
2020-02-03,China,Yunnan,109,,,,,4830,,,,
2020-02-03,China,Zhejiang,724,,,,,5737,,,,
2020-02-04,China,all,20471,,,,,142823,,,,
2020-02-04,China,Anhui,480,,,,,6324,,,,
2020-02-04,China,Beijing,228,,,,,2154,,,,
2020-02-04,China,Chongqing,337,,,,,3102,,,,
2020-02-04,China,Fujian,194,,,,,3941,,,,
2020-02-04,China,Gansu,56,,,,,2637,,,,
2020-02-04,China,Guangdong,797,,,,,11346,,,,
2020-02-04,China,Guangxi,139,,,,,4926,,,,
2020-02-04,China,Guizhou,56,,,,,3600,,,,
2020-02-04,China,Hainan,79,,,,,934,,,,
2020-02-04,China,Hebei,126,,,,,7556,,,,
2020-02-04,China,Heilongjiang,155,,,,,3773,,,,
2020-02-04,China,Henan,675,,,,,9605,,,,
2020-02-04,China,Hong Kong SAR,15,,,,,745,,,,
2020-02-04,China,Hubei,13522,,,,,5917,,,,
2020-02-04,China,Hunan,593,,,,,6899,,,,
2020-02-04,China,Inner Mongolia,37,,,,,2534,,,,
2020-02-04,China,Jiangsu,308,,,,,8051,,,,
2020-02-04,China,Jiangxi,476,,,,,4648,,,,
2020-02-04,China,Jilin,42,,,,,2704,,,,
2020-02-04,China,Liaoning,74,,,,,4359,,,,
2020-02-04,China,Macao SAR,8,,,,,66,,,,
2020-02-04,China,Ningxia,34,,,,,688,,,,
2020-02-04,China,Qinghai,15,,,,,603,,,,
2020-02-04,China,Shaanxi,142,,,,,3864,,,,
2020-02-04,China,Shandong,270,,,,,10047,,,,
2020-02-04,China,Shanghai,208,,,,,2424,,,,
2020-02-04,China,Shanxi,74,,,,,3718,,,,
2020-02-04,China,Sichuan,282,,,,,8341,,,,
2020-02-04,China,Taiwan,10,,,,,2359,,,,
2020-02-04,China,Tianjin,63,,,,,1560,,,,
2020-02-04,China,Xinjiang,29,,,,,2487,,,,
2020-02-04,China,Xizang,1,,,,,344,,,,
2020-02-04,China,Yunnan,117,,,,,4830,,,,
2020-02-04,China,Zhejiang,829,,,,,5737,,,,
2020-02-05,China,all,24362,,,,,142823,,,,
