date,country,adm,population_E4,n_cum_conf,n_cum_deaths,n_inc_conf,n_inc_sus,n_inc_deaths,n_cum_clin,n_cum_tot,n_inc_clin,n_inc_tot
2020-02-06,China,Fujian,3941,215,,,,,,,,
2020-02-06,China,Gansu,2637,62,,,,,,,,
2020-02-06,China,Guangdong,11346,944,,,,,,,,
2020-02-06,China,Guangxi,4926,168,,,,,,,,
2020-02-06,China,Guizhou,3600,69,,,,,,,,
2020-02-06,China,Hainan,934,100,,,,,,,,
2020-02-06,China,Hebei,7556,157,,,,,,,,
2020-02-06,China,Heilongjiang,3773,227,,,,,,,,
2020-02-06,China,Henan,9605,851,,,,,,,,
2020-02-06,China,Hong Kong SAR,745,21,,,,,,,,
2020-02-06,China,Hubei,5917,19665,,,,,,,,
2020-02-06,China,Hunan,6899,711,,,,,,,,
2020-02-06,China,Inner Mongolia,2534,46,,,,,,,,
2020-02-06,China,Jiangsu,8051,373,,,,,,,,
2020-02-06,China,Jiangxi,4648,600,,,,,,,,
2020-02-06,China,Jilin,2704,59,,,,,,,,
2020-02-06,China,Liaoning,4359,89,,,,,,,,
2020-02-06,China,Macao SAR,66,10,,,,,,,,
2020-02-06,China,Ningxia,688,40,,,,,,,,
2020-02-06,China,Qinghai,603,18,,,,,,,,
2020-02-06,China,Shaanxi,3864,173,,,,,,,,
2020-02-06,China,Shandong,10047,343,,,,,,,,
2020-02-06,China,Shanghai,2424,254,,,,,,,,
2020-02-06,China,Shanxi,3718,90,,,,,,,,
2020-02-06,China,Sichuan,8341,321,,,,,,,,
2020-02-06,China,Taiwan,2359,11,,,,,,,,
2020-02-06,China,Tianjin,1560,70,,,,,,,,
2020-02-06,China,Xinjiang,2487,36,,,,,,,,
2020-02-06,China,Xizang,344,1,,,,,,,,
2020-02-06,China,Yunnan,4830,128,,,,,,,,
2020-02-06,China,Zhejiang,5737,954,,,,,,,,
2020-02-07,China,Anhui,6324,665,,,,,,,,
2020-02-07,China,Beijing,2154,297,,,,,,,,
2020-02-07,China,Chongqing,3102,411,,,,,,,,
2020-02-07,China,Fujian,3941,224,,,,,,,,
2020-02-07,China,Gansu,2637,70,,,,,,,,
2020-02-07,China,Guangdong,11346,1018,,,,,,,,
2020-02-07,China,Guangxi,4926,172,,,,,,,,
2020-02-07,China,Guizhou,3600,77,,,,,,,,
2020-02-07,China,Hainan,934,111,,,,,,,,
2020-02-07,China,Hebei,7556,171,,,,,,,,
2020-02-07,China,Heilongjiang,3773,277,,,,,,,,
2020-02-07,China,Henan,9605,914,,,,,,,,
2020-02-07,China,Hong Kong SAR,745,24,,,,,,,,
2020-02-07,China,Hubei,5917,22112,,,,,,,,
2020-02-07,China,Hunan,6899,772,,,,,,,,
2020-02-07,China,Inner Mongolia,2534,49,,,,,,,,
2020-02-07,China,Jiangsu,8051,408,,,,,,,,
2020-02-07,China,Jiangxi,4648,661,,,,,,,,
2020-02-07,China,Jilin,2704,65,,,,,,,,
2020-02-07,China,Liaoning,4359,94,,,,,,,,
2020-02-07,China,Macao SAR,66,10,,,,,,,,
2020-02-07,China,Ningxia,688,43,,,,,,,,
2020-02-07,China,Qinghai,603,18,,,,,,,,
2020-02-07,China,Shaanxi,3864,184,,,,,,,,
2020-02-07,China,Shandong,10047,379,,,,,,,,
2020-02-07,China,Shanghai,2424,269,,,,,,,,
2020-02-07,China,Shanxi,3718,96,,,,,,,,
2020-02-07,China,Sichuan,8341,344,,,,,,,,
2020-02-07,China,Taiwan,2359,16,,,,,,,,
2020-02-07,China,Tianjin,1560,79,,,,,,,,
2020-02-07,China,Xinjiang,2487,39,,,,,,,,
2020-02-07,China,Xizang,344,1,,,,,,,,
2020-02-07,China,Yunnan,4830,135,,,,,,,,
2020-02-07,China,Zhejiang,5737,1006,,,,,,,,
2020-02-08,China,Anhui,6324,733,,,,,,,,
2020-02-08,China,Beijing,2154,315,,,,,,,,
2020-02-08,China,Chongqing,3102,426,,,,,,,,
2020-02-08,China,Fujian,3941,239,,,,,,,,
2020-02-08,China,Gansu,2637,71,,,,,,,,
2020-02-08,China,Guangdong,11346,1075,,,,,,,,
2020-02-08,China,Guangxi,4926,183,,,,,,,,
2020-02-08,China,Guizhou,3600,89,,,,,,,,
2020-02-08,China,Hainan,934,123,,,,,,,,
2020-02-08,China,Hebei,7556,195,,,,,,,,
2020-02-08,China,Heilongjiang,3773,282,,,,,,,,
2020-02-08,China,Henan,9605,981,,,,,,,,
2020-02-08,China,Hong Kong SAR,745,26,,,,,,,,
2020-02-08,China,Hubei,5917,24953,,,,,,,,
2020-02-08,China,Hunan,6899,803,,,,,,,,
2020-02-08,China,Inner Mongolia,2534,50,,,,,,,,
2020-02-08,China,Jiangsu,8051,439,,,,,,,,
2020-02-08,China,Jiangxi,4648,698,,,,,,,,
2020-02-08,China,Jilin,2704,69,,,,,,,,
2020-02-08,China,Liaoning,4359,99,,,,,,,,
2020-02-08,China,Macao SAR,66,10,,,,,,,,
2020-02-08,China,Ningxia,688,45,,,,,,,,
2020-02-08,China,Qinghai,603,18,,,,,,,,
2020-02-08,China,Shaanxi,3864,195,,,,,,,,
2020-02-08,China,Shandong,10047,407,,,,,,,,
2020-02-08,China,Shanghai,2424,281,,,,,,,,
2020-02-08,China,Shanxi,3718,104,,,,,,,,
2020-02-08,China,Sichuan,8341,363,,,,,,,,
2020-02-08,China,Taiwan,2359,16,,,,,,,,
2020-02-08,China,Tianjin,1560,81,,,,,,,,
2020-02-08,China,Xinjiang,2487,42,,,,,,,,
2020-02-08,China,Xizang,344,1,,,,,,,,
2020-02-08,China,Yunnan,4830,138,,,,,,,,
2020-02-08,China,Zhejiang,5737,1048,,,,,,,,
2020-02-09,China,Anhui,6324,779,,,,,,,,
2020-02-09,China,Beijing,2154,326,,,,,,,,
2020-02-09,China,Chongqing,3102,446,,,,,,,,
2020-02-09,China,Fujian,3941,250,,,,,,,,
2020-02-09,China,Gansu,2637,81,,,,,,,,
2020-02-09,China,Guangdong,11346,1120,,,,,,,,
2020-02-09,China,Guangxi,4926,195,,,,,,,,
2020-02-09,China,Guizhou,3600,96,,,,,,,,
2020-02-09,China,Hainan,934,128,,,,,,,,
2020-02-09,China,Hebei,7556,206,,,,,,,,
2020-02-09,China,Heilongjiang,3773,307,,,,,,,,
2020-02-09,China,Henan,9605,1033,,,,,,,,
2020-02-09,China,Hong Kong SAR,745,26,,,,,,,,
2020-02-09,China,Hubei,5917,27100,,,,,,,,
2020-02-09,China,Hunan,6899,838,,,,,,,,
2020-02-09,China,Inner Mongolia,2534,54,,,,,,,,
2020-02-09,China,Jiangsu,8051,468,,,,,,,,
2020-02-09,China,Jiangxi,4648,740,,,,,,,,
2020-02-09,China,Jilin,2704,78,,,,,,,,
2020-02-09,China,Liaoning,4359,105,,,,,,,,
2020-02-09,China,Macao SAR,66,10,,,,,,,,
2020-02-09,China,Ningxia,688,45,,,,,,,,
2020-02-09,China,Qinghai,603,18,,,,,,,,
2020-02-09,China,Shaanxi,3864,208,,,,,,,,
